date,actual,forecast,product
2024-10-21T00:00:00.000+0000,70.56,78.54564131610806,Crude Oil
2024-10-22T00:00:00.000+0000,72.09,78.50289138106137,Crude Oil
2024-10-23T00:00:00.000+0000,70.77,78.28914170582786,Crude Oil
2024-10-24T00:00:00.000+0000,70.19,78.51510564821757,Crude Oil
2024-10-25T00:00:00.000+0000,71.78,78.38336856494612,Crude Oil
2024-10-28T00:00:00.000+0000,67.38,78.34672576347752,Crude Oil
2024-10-29T00:00:00.000+0000,67.21,78.37115429778993,Crude Oil
2024-10-30T00:00:00.000+0000,68.61,78.54826117155483,Crude Oil
2024-10-31T00:00:00.000+0000,69.26,78.55436830513293,Crude Oil
2024-11-01T00:00:00.000+0000,69.49,78.41119000801046,Crude Oil
2024-11-04T00:00:00.000+0000,71.47,78.64936821755637,Crude Oil
2024-11-05T00:00:00.000+0000,71.99,78.93640349572709,Crude Oil
2024-11-06T00:00:00.000+0000,71.69,77.91651218818434,Crude Oil
2024-11-07T00:00:00.000+0000,72.36,78.27072593571415,Crude Oil
2024-11-08T00:00:00.000+0000,70.38,78.01039430506881,Crude Oil
2024-11-11T00:00:00.000+0000,68.04,77.68060909185141,Crude Oil
2024-11-12T00:00:00.000+0000,68.12,77.38746668010259,Crude Oil
2024-11-13T00:00:00.000+0000,68.43,77.10653853550997,Crude Oil
2024-11-14T00:00:00.000+0000,68.7,76.99050299752608,Crude Oil
2024-11-15T00:00:00.000+0000,67.02,76.98844203984879,Crude Oil
2024-11-18T00:00:00.000+0000,69.16,77.2388345165509,Crude Oil
2024-11-19T00:00:00.000+0000,69.39,77.28158445159761,Crude Oil
2024-11-20T00:00:00.000+0000,68.87,76.99454917342689,Crude Oil
2024-11-21T00:00:00.000+0000,70.1,76.81744229966199,Crude Oil
2024-11-22T00:00:00.000+0000,71.24,76.46551777070329,Crude Oil
2024-11-25T00:00:00.000+0000,68.94,76.87469572043602,Crude Oil
2024-11-26T00:00:00.000+0000,68.77,76.7586601824521,Crude Oil
2024-11-27T00:00:00.000+0000,68.72,77.32662360521545,Crude Oil
2024-11-29T00:00:00.000+0000,68,77.43975653405147,Crude Oil
2024-12-02T00:00:00.000+0000,68.1,77.00615005000634,Crude Oil
2024-12-03T00:00:00.000+0000,69.94,77.05500711863115,Crude Oil
2024-12-04T00:00:00.000+0000,68.54,77.07332851936545,Crude Oil
2024-12-05T00:00:00.000+0000,68.3,77.45807793478578,Crude Oil
2024-12-06T00:00:00.000+0000,67.2,77.27274481770476,Crude Oil
2024-12-09T00:00:00.000+0000,68.37,77.16281641329897,Crude Oil
2024-12-10T00:00:00.000+0000,68.59,77.01013807384646,Crude Oil
2024-12-11T00:00:00.000+0000,70.29,76.82081693292534,Crude Oil
2024-12-12T00:00:00.000+0000,70.02,76.66813859347283,Crude Oil
2024-12-13T00:00:00.000+0000,71.29,76.6263097086039,Crude Oil
2024-12-16T00:00:00.000+0000,70.71,76.71180957869731,Crude Oil
2024-12-17T00:00:00.000+0000,70.08,76.6507382429163,Crude Oil
2024-12-18T00:00:00.000+0000,70.58,75.99727495005956,Crude Oil
2024-12-19T00:00:00.000+0000,69.91,75.76520387409175,Crude Oil
2024-12-20T00:00:00.000+0000,69.46,76.1687324317852,Crude Oil
2024-12-23T00:00:00.000+0000,69.24,75.91223282150499,Crude Oil
2024-12-24T00:00:00.000+0000,70.1,75.77787588278677,Crude Oil
2024-12-26T00:00:00.000+0000,69.62,75.85726861930209,Crude Oil
2024-12-27T00:00:00.000+0000,70.6,75.9147153034024,Crude Oil
2024-12-30T00:00:00.000+0000,70.99,75.8353225668871,Crude Oil
2024-03-14T00:00:00.000+0000,1.74,1.6473599151950031,Natural Gas
2024-03-15T00:00:00.000+0000,1.65,1.6452890531162727,Natural Gas
2024-03-18T00:00:00.000+0000,1.7,1.646067049100839,Natural Gas
2024-03-19T00:00:00.000+0000,1.74,1.6428386514139133,Natural Gas
2024-03-20T00:00:00.000+0000,1.7,1.6554736533957666,Natural Gas
2024-03-21T00:00:00.000+0000,1.68,1.6319741861747015,Natural Gas
2024-03-22T00:00:00.000+0000,1.66,1.6148971055353112,Natural Gas
2024-03-25T00:00:00.000+0000,1.62,1.6191196990271686,Natural Gas
2024-03-26T00:00:00.000+0000,1.58,1.61523438057214,Natural Gas
2024-03-27T00:00:00.000+0000,1.72,1.6101139170151315,Natural Gas
2024-03-28T00:00:00.000+0000,1.76,1.604171630519999,Natural Gas
2024-04-01T00:00:00.000+0000,1.84,1.5866132120730603,Natural Gas
2024-04-02T00:00:00.000+0000,1.86,1.592555498568193,Natural Gas
2024-04-03T00:00:00.000+0000,1.84,1.6094910150793194,Natural Gas
2024-04-04T00:00:00.000+0000,1.77,1.6133535013011553,Natural Gas
2024-04-05T00:00:00.000+0000,1.78,1.6103367160069166,Natural Gas
2024-04-08T00:00:00.000+0000,1.84,1.6150905452030226,Natural Gas
2024-04-09T00:00:00.000+0000,1.87,1.6147934308782657,Natural Gas
2024-04-10T00:00:00.000+0000,1.88,1.5821108551550385,Natural Gas
2024-04-11T00:00:00.000+0000,1.76,1.5812195121807688,Natural Gas
