Price,Close,High,Low,Open,Volume
6/6/2022,0.01581903,0.016676394,0.015756717,0.015756717,0
6/7/2022,0.016302576,0.016477179,0.016041065,0.016302576,0
6/8/2022,0.01600899,0.016731249,0.016203515,0.016203515,0
6/9/2022,0.016676366,0.017431624,0.016403526,0.016405545,0
6/10/2022,0.01725179,0.017670967,0.016837852,0.01725179,0
6/13/2022,0.009035537,0.017710086,0.017177703,0.017177703,0
6/14/2022,0.017326519,0.017788878,0.016901884,0.017326519,0
6/15/2022,0.017140899,0.017999532,0.016995242,0.017140899,0
6/16/2022,0.017477933,0.017670998,0.017038241,0.017477933,0
6/17/2022,0.017439863,0.018021429,0.017104249,0.017104249,0
6/20/2022,0.017632019,0.018218089,0.017554639,0.017632019,0
6/21/2022,0.018276524,0.019105811,0.017948488,0.018276524,0
6/22/2022,0.018573551,0.018951956,0.018427575,0.018573551,0
6/23/2022,0.018193396,0.018844813,0.018193396,0.018193396,0
6/24/2022,0.018360415,0.018827109,0.018348288,0.018360415,0
6/27/2022,0.018738873,0.018871484,0.018462107,0.018738873,0
6/28/2022,0.018835939,0.018959861,0.018376071,0.018835939,0
6/29/2022,0.018616809,0.019766791,0.018360415,0.018360415,0
6/30/2022,0.019060289,0.019243721,0.018193396,0.019243721,0
7/1/2022,0.018234866,0.019421246,0.017762778,0.018234866,0
7/4/2022,0.018783752,0.018530529,0.017797552,0.018530529,0
7/5/2022,0.018348623,0.018348623,0.015285145,0.018348623,0
7/6/2022,0.015756691,0.016676394,0.014597688,0.016676394,0
7/7/2022,0.015744312,0.015926102,0.015676439,0.015744312,0
7/8/2022,0.015862944,0.016409583,0.015658028,0.015862944,0
7/11/2022,0.015416635,0.016423058,0.015881814,0.015881838,0
7/12/2022,0.01641497,0.017126249,0.016179293,0.01641497,0
7/13/2022,0.017126221,0.017170329,0.016923336,0.017126221,0
7/14/2022,0.017111568,0.017244352,0.016873365,0.017111568,0
7/15/2022,0.017170329,0.017531557,0.016959213,0.017170329,0
7/18/2022,0.009035537,0.017780971,0.017214667,0.017554639,0
7/19/2022,0.017326519,0.018185157,0.017326519,0.017326519,0
7/20/2022,0.017710086,0.018318541,0.017567405,0.017710086,0
7/21/2022,0.018193362,0.018234866,0.017009696,0.01786831,0
7/22/2022,0.01725179,0.017828491,0.016887613,0.01725179,0
7/25/2022,0.017214667,0.017516203,0.017031424,0.017214667,0
7/26/2022,0.017104249,0.017304061,0.016375992,0.017104249,0
7/27/2022,0.016641704,0.016852068,0.016405815,0.016641704,0
7/28/2022,0.01685204,0.016880486,0.015945148,0.01685204,0
7/29/2022,0.016008966,0.016518004,0.01566416,0.016008966,0
8/1/2022,0.016073294,0.016526056,0.015834685,0.016073294,0
